applicant_id,gender,married,dependents,education
A00489,Male,No,1,Graduate
A00490,Female,Yes,2,Graduate
A00491,Female,No,3+,Graduate
A00492,Female,No,0,Not Graduate
A00493,Male,Yes,3+,Not Graduate
A00494,Female,No,1,Not Graduate
A00495,Male,No,3+,Not Graduate
A00496,Female,Yes,0,Graduate
A00497,Male,Yes,3+,Graduate
A00498,Female,Yes,1,Not Graduate
A00499,Male,No,1,Not Graduate
A00500,Female,No,0,Graduate
A00501,Female,Yes,1,Not Graduate
A00502,Male,Yes,3+,Graduate
A00503,Female,Yes,3+,Graduate
A00504,Male,Yes,0,Not Graduate
A00505,Male,No,2,Graduate
A00506,Female,No,1,Not Graduate
A00507,Female,Yes,3+,Not Graduate
A00508,Male,No,3+,Not Graduate
A00509,Female,Yes,1,Not Graduate
A00510,Female,Yes,0,Not Graduate
A00511,Female,No,1,Not Graduate
A00512,Female,No,2,Graduate
A00513,Female,No,3+,Graduate
A00514,Female,Yes,3+,Graduate
A00515,Male,Yes,0,Graduate
A00516,Female,No,0,Not Graduate
A00517,Male,No,1,Not Graduate
A00518,Female,Yes,3+,Not Graduate
A00519,Female,Yes,3+,Graduate
A00520,Male,No,2,Graduate
A00521,Female,No,0,Graduate
A00522,Male,Yes,0,Graduate
A00523,Male,Yes,3+,Graduate
A00524,Male,Yes,2,Not Graduate
A00525,Male,Yes,3+,Not Graduate
A00526,Female,No,0,Graduate
A00527,Female,No,3+,Not Graduate
A00528,Male,No,0,Not Graduate
A00529,Female,No,3+,Not Graduate
A00530,Female,Yes,2,Not Graduate
A00531,Female,No,3+,Graduate
A00532,Female,Yes,1,Graduate
A00533,Female,Yes,1,Not Graduate
A00534,Female,Yes,3+,Not Graduate
A00535,Female,No,1,Not Graduate
A00536,Male,Yes,2,Not Graduate
A00537,Male,Yes,3+,Graduate
A00538,Female,No,1,Not Graduate
A00539,Male,Yes,0,Not Graduate
A00540,Female,No,1,Not Graduate
A00541,Female,Yes,1,Not Graduate
A00542,Male,Yes,3+,Not Graduate
A00543,Male,No,3+,Not Graduate
A00544,Male,No,0,Not Graduate
A00545,Male,No,3+,Not Graduate
A00546,Female,Yes,2,Graduate
A00547,Female,No,1,Not Graduate
A00548,Male,No,3+,Not Graduate
A00549,Male,No,1,Graduate
A00550,Female,Yes,1,Graduate
A00551,Male,Yes,1,Graduate
A00552,Female,Yes,3+,Graduate
A00553,Male,No,3+,Graduate
A00554,Male,No,2,Graduate
A00555,Female,No,3+,Not Graduate
A00556,Male,No,1,Graduate
A00557,Male,Yes,2,Graduate
A00558,Female,No,1,Graduate
A00559,Male,No,3+,Not Graduate
A00560,Female,Yes,2,Graduate
A00561,Male,No,2,Not Graduate
A00562,Male,Yes,3+,Not Graduate
A00563,Male,Yes,3+,Graduate
A00564,Male,No,1,Not Graduate
A00565,Female,No,3+,Graduate
A00566,Male,No,1,Graduate
A00567,Female,Yes,0,Graduate
A00568,Male,No,0,Not Graduate
A00569,Male,No,3+,Graduate
A00570,Female,No,0,Not Graduate
A00571,Male,No,3+,Not Graduate
A00572,Female,No,2,Graduate
A00573,Female,No,0,Not Graduate
A00574,Male,No,1,Graduate
A00575,Female,No,1,Graduate
A00576,Female,Yes,3+,Graduate
A00577,Female,Yes,0,Not Graduate
A00578,Male,Yes,1,Graduate
A00579,Male,No,2,Not Graduate
A00580,Male,No,3+,Not Graduate
A00581,Female,No,0,Graduate
A00582,Male,Yes,0,Graduate
A00583,Male,Yes,3+,Graduate
A00584,Male,No,3+,Not Graduate
A00585,Female,No,3+,Graduate
A00586,Male,No,2,Graduate
A00587,Female,Yes,3+,Not Graduate
A00588,Female,No,1,Graduate
A00589,Male,Yes,0,Graduate
A00590,Female,No,1,Not Graduate
A00591,Male,No,2,Graduate
A00592,Male,No,1,Graduate
A00593,Female,No,3+,Not Graduate
A00594,Female,No,3+,Not Graduate
A00595,Male,No,3+,Not Graduate
A00596,Female,Yes,3+,Not Graduate
A00597,Male,Yes,3+,Not Graduate
A00598,Female,No,3+,Graduate
A00599,Female,Yes,3+,Not Graduate
A00600,Female,No,3+,Graduate
A00601,Female,No,0,Not Graduate
A00602,Female,Yes,2,Not Graduate
A00603,Male,No,3+,Not Graduate
A00604,Female,No,3+,Graduate
A00605,Female,No,2,Not Graduate
A00606,Male,Yes,3+,Graduate
A00607,Female,No,0,Not Graduate
A00608,Female,Yes,3+,Graduate
A00609,Female,Yes,1,Graduate
A00610,Female,No,0,Not Graduate
A00611,Male,Yes,3+,Not Graduate
A00612,Male,Yes,0,Graduate
A00613,Female,Yes,1,Graduate
A00614,Male,Yes,0,Not Graduate
A00615,Female,Yes,1,Not Graduate
A00616,Male,Yes,2,Graduate
A00617,Male,Yes,2,Graduate
A00618,Male,Yes,1,Not Graduate
A00619,Female,No,2,Graduate
A00620,Male,Yes,0,Not Graduate
A00621,Female,Yes,1,Graduate
A00622,Male,Yes,1,Graduate
A00623,Male,No,2,Graduate
A00624,Male,No,0,Graduate
A00625,Male,No,2,Not Graduate
A00626,Female,Yes,1,Not Graduate
A00627,Female,No,3+,Graduate
A00628,Male,No,0,Not Graduate
A00629,Female,No,1,Graduate
A00630,Male,Yes,0,Not Graduate
A00631,Female,No,2,Graduate
A00632,Male,Yes,0,Not Graduate
A00633,Female,No,2,Graduate
A00634,Female,No,2,Not Graduate
A00635,Female,No,1,Graduate
A00636,Male,No,1,Not Graduate
A00637,Male,Yes,1,Graduate
A00638,Male,Yes,2,Graduate
A00639,Male,Yes,3+,Graduate
A00640,Male,Yes,0,Not Graduate
A00641,Male,Yes,1,Graduate
A00642,Male,No,1,Not Graduate
A00643,Female,No,1,Not Graduate
A00644,Male,Yes,0,Not Graduate
A00645,Male,No,0,Graduate
A00646,Male,Yes,0,Not Graduate
A00647,Female,Yes,2,Not Graduate
A00648,Male,Yes,3+,Not Graduate
A00649,Female,Yes,0,Not Graduate
A00650,Female,No,1,Graduate
A00651,Female,No,3+,Not Graduate
A00652,Male,No,3+,Not Graduate
A00653,Female,Yes,3+,Graduate
A00654,Female,Yes,2,Not Graduate
A00655,Male,Yes,3+,Not Graduate
A00656,Male,No,0,Graduate
A00657,Female,Yes,3+,Not Graduate
A00658,Male,No,0,Graduate
A00659,Female,Yes,3+,Not Graduate
A00660,Female,No,1,Not Graduate
A00661,Female,No,2,Graduate
A00662,Female,No,2,Graduate
A00663,Male,Yes,3+,Not Graduate
A00664,Female,Yes,2,Graduate
A00665,Male,Yes,0,Graduate
A00666,Female,Yes,3+,Graduate
A00667,Female,Yes,3+,Graduate
A00668,Male,Yes,3+,Graduate
A00669,Male,No,1,Not Graduate
A00670,Female,Yes,1,Not Graduate
A00671,Male,No,2,Not Graduate
A00672,Female,Yes,3+,Not Graduate
A00673,Female,Yes,0,Graduate
A00674,Female,No,3+,Graduate
A00675,Female,No,1,Graduate
A00676,Female,Yes,0,Graduate
A00677,Female,No,2,Not Graduate
A00678,Male,Yes,0,Not Graduate
A00679,Female,Yes,2,Not Graduate
A00680,Female,Yes,3+,Graduate
A00681,Male,Yes,2,Not Graduate
A00682,Male,Yes,0,Graduate
A00683,Male,Yes,3+,Graduate
A00684,Male,Yes,0,Not Graduate
A00685,Female,No,2,Not Graduate
A00686,Female,No,1,Not Graduate
A00687,Female,Yes,3+,Not Graduate
A00688,Male,No,1,Graduate
A00689,Female,No,1,Graduate
A00690,Male,Yes,2,Graduate
A00691,Female,No,1,Not Graduate
A00692,Female,No,1,Not Graduate
A00693,Male,No,0,Not Graduate
A00694,Female,No,2,Graduate
A00695,Male,No,1,Graduate
A00696,Male,Yes,3+,Not Graduate
A00697,Male,Yes,0,Not Graduate
A00698,Male,Yes,2,Not Graduate
A00699,Male,No,1,Not Graduate
A00700,Female,No,3+,Not Graduate
A00701,Female,Yes,0,Graduate
A00702,Male,Yes,0,Not Graduate
A00703,Male,No,1,Graduate
A00704,Female,No,2,Not Graduate
A00705,Male,Yes,0,Not Graduate
A00706,Male,Yes,1,Graduate
A00707,Female,Yes,0,Not Graduate
A00708,Male,Yes,2,Graduate
A00709,Male,Yes,0,Graduate
A00710,Male,Yes,3+,Not Graduate
A00711,Female,No,2,Graduate
A00712,Female,No,1,Graduate
A00713,Male,No,1,Graduate
A00714,Female,Yes,1,Not Graduate
A00715,Female,Yes,0,Graduate
A00716,Female,Yes,2,Not Graduate
A00717,Female,No,3+,Not Graduate
A00718,Female,Yes,1,Not Graduate
A00719,Male,No,0,Not Graduate
A00720,Male,Yes,0,Graduate
A00721,Female,No,0,Not Graduate
A00722,Female,Yes,2,Graduate
A00723,Male,Yes,2,Graduate
A00724,Female,Yes,3+,Not Graduate
A00725,Female,No,0,Graduate
A00726,Female,No,1,Not Graduate
A00727,Female,Yes,2,Not Graduate
A00728,Male,No,1,Not Graduate
A00729,Female,No,3+,Not Graduate
A00730,Male,No,0,Not Graduate
A00731,Male,No,0,Not Graduate
A00732,Female,Yes,0,Graduate
A00733,Male,Yes,0,Graduate
A00734,Male,Yes,3+,Not Graduate
A00735,Male,No,1,Not Graduate
A00736,Male,No,0,Graduate
A00737,Female,Yes,1,Not Graduate
A00738,Male,No,1,Graduate
A00739,Female,No,0,Graduate
A00740,Female,No,3+,Not Graduate
A00741,Male,Yes,1,Not Graduate
A00742,Female,No,0,Not Graduate
A00743,Female,No,3+,Graduate
A00744,Male,No,3+,Graduate
A00745,Male,Yes,1,Not Graduate
A00746,Male,No,0,Graduate
A00747,Male,No,1,Graduate
A00748,Male,No,3+,Graduate
A00749,Male,Yes,3+,Graduate
A00750,Male,Yes,2,Graduate
A00751,Male,No,3+,Not Graduate
A00752,Male,Yes,3+,Graduate
A00753,Female,No,2,Not Graduate
A00754,Female,Yes,2,Not Graduate
A00755,Male,No,2,Graduate
A00756,Female,No,2,Not Graduate
A00757,Female,No,0,Graduate
A00758,Female,No,2,Not Graduate
A00759,Female,Yes,2,Graduate
A00760,Female,No,2,Not Graduate
A00761,Male,No,0,Not Graduate
A00762,Male,Yes,3+,Not Graduate
A00763,Female,Yes,2,Graduate
A00764,Female,No,3+,Graduate
